field_name,field_type
vento,text
mare,text
chuvas_ultimas_24h,text
temp_ar_celsius,float
temp_agua_celsius,float
ecoli,text
condicao,text
datahora,datetime
municipio,text
local,text
ponto_de_coleta,text
referencia,text
ano,integer
balneario_id,integer
balneario_nome,text
municipio_id,integer
municipio_nome,text
